Time	Node	Type	Packets	
1	0	CacheHits	1
1	0	CacheMisses	103
1	1	CacheHits	3
1	1	CacheMisses	100
1	2	CacheHits	1
1	2	CacheMisses	99
1	3	CacheHits	1
1	3	CacheMisses	98
1	4	CacheHits	1
1	4	CacheMisses	97
2	0	CacheHits	2
2	0	CacheMisses	98
2	1	CacheHits	1
2	1	CacheMisses	97
2	2	CacheHits	2
2	2	CacheMisses	95
2	3	CacheHits	1
2	3	CacheMisses	94
2	4	CacheHits	0
2	4	CacheMisses	94
3	0	CacheHits	3
3	0	CacheMisses	96
3	1	CacheHits	5
3	1	CacheMisses	91
3	2	CacheHits	0
3	2	CacheMisses	92
3	3	CacheHits	2
3	3	CacheMisses	91
3	4	CacheHits	1
3	4	CacheMisses	90
4	0	CacheHits	4
4	0	CacheMisses	96
4	1	CacheHits	5
4	1	CacheMisses	91
4	2	CacheHits	0
4	2	CacheMisses	91
4	3	CacheHits	0
4	3	CacheMisses	90
4	4	CacheHits	2
4	4	CacheMisses	88
5	0	CacheHits	16
5	0	CacheMisses	84
5	1	CacheHits	4
5	1	CacheMisses	80
5	2	CacheHits	2
5	2	CacheMisses	78
5	3	CacheHits	2
5	3	CacheMisses	76
5	4	CacheHits	2
5	4	CacheMisses	74
6	0	CacheHits	6
6	0	CacheMisses	94
6	1	CacheHits	3
6	1	CacheMisses	91
6	2	CacheHits	2
6	2	CacheMisses	89
6	3	CacheHits	2
6	3	CacheMisses	87
6	4	CacheHits	1
6	4	CacheMisses	86
7	0	CacheHits	6
7	0	CacheMisses	93
7	1	CacheHits	7
7	1	CacheMisses	87
7	2	CacheHits	1
7	2	CacheMisses	86
7	3	CacheHits	2
7	3	CacheMisses	84
7	4	CacheHits	2
7	4	CacheMisses	83
8	0	CacheHits	7
8	0	CacheMisses	93
8	1	CacheHits	1
8	1	CacheMisses	92
8	2	CacheHits	2
8	2	CacheMisses	91
8	3	CacheHits	2
8	3	CacheMisses	89
8	4	CacheHits	1
8	4	CacheMisses	87
9	0	CacheHits	6
9	0	CacheMisses	94
9	1	CacheHits	4
9	1	CacheMisses	89
9	2	CacheHits	3
9	2	CacheMisses	86
9	3	CacheHits	3
9	3	CacheMisses	83
9	4	CacheHits	0
9	4	CacheMisses	83
10	0	CacheHits	13
10	0	CacheMisses	87
10	1	CacheHits	2
10	1	CacheMisses	85
10	2	CacheHits	4
10	2	CacheMisses	81
10	3	CacheHits	2
10	3	CacheMisses	79
10	4	CacheHits	0
10	4	CacheMisses	80
11	0	CacheHits	0
11	0	CacheMisses	1
11	1	CacheHits	0
11	1	CacheMisses	1
11	2	CacheHits	0
11	2	CacheMisses	2
11	3	CacheHits	1
11	3	CacheMisses	2
11	4	CacheHits	0
11	4	CacheMisses	2
