Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.06934	0	0	0	LastDelay	1.06934	1.06934e+06	1	4
1.06934	0	0	0	FullDelay	1.06934	1.06934e+06	1	4
1.3291	0	0	1	LastDelay	1.2291	1.2291e+06	1	4
1.3291	0	0	1	FullDelay	1.2291	1.2291e+06	1	4
1.58887	0	0	2	LastDelay	1.38887	1.38887e+06	1	4
1.58887	0	0	2	FullDelay	1.38887	1.38887e+06	1	4
1.84863	0	0	3	LastDelay	1.54863	1.54863e+06	1	4
1.84863	0	0	3	FullDelay	1.54863	1.54863e+06	1	4
2.1084	0	0	4	LastDelay	1.7084	1.7084e+06	1	4
2.1084	0	0	4	FullDelay	1.7084	1.7084e+06	1	4
2.36816	0	0	5	LastDelay	1.86816	1.86816e+06	1	4
2.36816	0	0	5	FullDelay	1.86816	1.86816e+06	1	4
7.56733	0	0	7	LastDelay	0.267334	267334	1	1
7.56733	0	0	7	FullDelay	6.86733	6.86733e+06	2	1
