Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
1	0	combined	Drop	0	0	0	0
1	1	combined	Drop	0	0	0	0
1	2	combined	Drop	0	0	0	0
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	0	0	0	0
2	0	combined	Drop	0	0	0	0
2	1	combined	Drop	0	0	0	0
2	2	combined	Drop	0	0	0	0
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	0	0	0	0
3	0	combined	Drop	0	0	0	0
3	1	combined	Drop	0	0	0	0
3	2	combined	Drop	0	0	0	0
3	3	combined	Drop	0	0	0	0
3	4	combined	Drop	0	0	0	0
4	0	combined	Drop	0	0	0	0
4	1	combined	Drop	0	0	0	0
4	2	combined	Drop	0	0	0	0
4	3	combined	Drop	0	0	0	0
4	4	combined	Drop	0	0	0	0
5	0	combined	Drop	0	0	0	0
5	1	combined	Drop	0	0	0	0
5	2	combined	Drop	0	0	0	0
5	3	combined	Drop	0	0	0	0
5	4	combined	Drop	0	0	0	0
6	0	combined	Drop	0	0	0	0
6	1	combined	Drop	0	0	0	0
6	2	combined	Drop	0	0	0	0
6	3	combined	Drop	0	0	0	0
6	4	combined	Drop	0	0	0	0
7	0	combined	Drop	0	0	0	0
7	1	combined	Drop	0	0	0	0
7	2	combined	Drop	0	0	0	0
7	3	combined	Drop	0	0	0	0
7	4	combined	Drop	0	0	0	0
8	0	combined	Drop	0	0	0	0
8	1	combined	Drop	0	0	0	0
8	2	combined	Drop	0	0	0	0
8	3	combined	Drop	0	0	0	0
8	4	combined	Drop	0	0	0	0
9	0	combined	Drop	0	0	0	0
9	1	combined	Drop	0	0	0	0
9	2	combined	Drop	0	0	0	0
9	3	combined	Drop	0	0	0	0
9	4	combined	Drop	0	0	0	0
10	0	combined	Drop	0	0	0	0
10	1	combined	Drop	0	0	0	0
10	2	combined	Drop	0	0	0	0
10	3	combined	Drop	0	0	0	0
10	4	combined	Drop	0	0	0	0
11	0	combined	Drop	0	0	0	0
11	1	combined	Drop	0	0	0	0
11	2	combined	Drop	0	0	0	0
11	3	combined	Drop	0	0	0	0
11	4	combined	Drop	0	0	0	0
12	0	combined	Drop	0	0	0	0
12	1	combined	Drop	0	0	0	0
12	2	combined	Drop	0	0	0	0
12	3	combined	Drop	0	0	0	0
12	4	combined	Drop	0	0	0	0
13	0	combined	Drop	0	0	0	0
13	1	combined	Drop	0	0	0	0
13	2	combined	Drop	0	0	0	0
13	3	combined	Drop	0	0	0	0
13	4	combined	Drop	0	0	0	0
14	0	combined	Drop	0	0	0	0
14	1	combined	Drop	0	0	0	0
14	2	combined	Drop	0	0	0	0
14	3	combined	Drop	0	0	0	0
14	4	combined	Drop	0	0	0	0
15	0	combined	Drop	0	0	0	0
15	1	combined	Drop	0	0	0	0
15	2	combined	Drop	0	0	0	0
15	3	combined	Drop	0	0	0	0
15	4	combined	Drop	0	0	0	0
16	0	combined	Drop	0	0	0	0
16	1	combined	Drop	0	0	0	0
16	2	combined	Drop	0	0	0	0
16	3	combined	Drop	0	0	0	0
16	4	combined	Drop	0	0	0	0
17	0	combined	Drop	0	0	0	0
17	1	combined	Drop	0	0	0	0
17	2	combined	Drop	0	0	0	0
17	3	combined	Drop	0	0	0	0
17	4	combined	Drop	0	0	0	0
18	0	combined	Drop	0	0	0	0
18	1	combined	Drop	0	0	0	0
18	2	combined	Drop	0	0	0	0
18	3	combined	Drop	0	0	0	0
18	4	combined	Drop	0	0	0	0
19	0	combined	Drop	0	0	0	0
19	1	combined	Drop	0	0	0	0
19	2	combined	Drop	0	0	0	0
19	3	combined	Drop	0	0	0	0
19	4	combined	Drop	0	0	0	0
