Time	Node	Type	Packets	
1	Node0	CacheHits	1
1	Node0	CacheMisses	96
1	Node1	CacheHits	3
1	Node1	CacheMisses	97
1	Node2	CacheHits	2
1	Node2	CacheMisses	95
1	Node3	CacheHits	3
1	Node3	CacheMisses	99
1	Node4	CacheHits	2
1	Node4	CacheMisses	3
1	Node5	CacheHits	2
1	Node5	CacheMisses	3
1	Node6	CacheHits	2
1	Node6	CacheMisses	94
1	Node7	CacheHits	3
1	Node7	CacheMisses	100
1	Node8	CacheHits	2
1	Node8	CacheMisses	3
1	Node9	CacheHits	2
1	Node9	CacheMisses	3
1	Node10	CacheHits	2
1	Node10	CacheMisses	3
1	Node11	CacheHits	2
1	Node11	CacheMisses	3
1	Node12	CacheHits	2
1	Node12	CacheMisses	3
1	Node13	CacheHits	2
1	Node13	CacheMisses	3
1	Node14	CacheHits	1
1	Node14	CacheMisses	93
2	Node0	CacheHits	0
2	Node0	CacheMisses	94
2	Node1	CacheHits	1
2	Node1	CacheMisses	94
2	Node2	CacheHits	0
2	Node2	CacheMisses	94
2	Node3	CacheHits	0
2	Node3	CacheMisses	95
2	Node4	CacheHits	0
2	Node4	CacheMisses	0
2	Node5	CacheHits	0
2	Node5	CacheMisses	0
2	Node6	CacheHits	0
2	Node6	CacheMisses	94
2	Node7	CacheHits	5
2	Node7	CacheMisses	95
2	Node8	CacheHits	0
2	Node8	CacheMisses	0
2	Node9	CacheHits	0
2	Node9	CacheMisses	0
2	Node10	CacheHits	0
2	Node10	CacheMisses	0
2	Node11	CacheHits	0
2	Node11	CacheMisses	0
2	Node12	CacheHits	0
2	Node12	CacheMisses	0
2	Node13	CacheHits	0
2	Node13	CacheMisses	0
2	Node14	CacheHits	0
2	Node14	CacheMisses	94
3	Node0	CacheHits	1
3	Node0	CacheMisses	80
3	Node1	CacheHits	4
3	Node1	CacheMisses	81
3	Node2	CacheHits	1
3	Node2	CacheMisses	79
3	Node3	CacheHits	4
3	Node3	CacheMisses	85
3	Node4	CacheHits	0
3	Node4	CacheMisses	0
3	Node5	CacheHits	0
3	Node5	CacheMisses	0
3	Node6	CacheHits	0
3	Node6	CacheMisses	79
3	Node7	CacheHits	12
3	Node7	CacheMisses	86
3	Node8	CacheHits	0
3	Node8	CacheMisses	0
3	Node9	CacheHits	0
3	Node9	CacheMisses	0
3	Node10	CacheHits	0
3	Node10	CacheMisses	0
3	Node11	CacheHits	0
3	Node11	CacheMisses	0
3	Node12	CacheHits	0
3	Node12	CacheMisses	0
3	Node13	CacheHits	0
3	Node13	CacheMisses	0
3	Node14	CacheHits	0
3	Node14	CacheMisses	79
4	Node0	CacheHits	0
4	Node0	CacheMisses	79
4	Node1	CacheHits	2
4	Node1	CacheMisses	79
4	Node2	CacheHits	0
4	Node2	CacheMisses	79
4	Node3	CacheHits	7
4	Node3	CacheMisses	81
4	Node4	CacheHits	0
4	Node4	CacheMisses	0
4	Node5	CacheHits	0
4	Node5	CacheMisses	0
4	Node6	CacheHits	0
4	Node6	CacheMisses	79
4	Node7	CacheHits	11
4	Node7	CacheMisses	89
4	Node8	CacheHits	0
4	Node8	CacheMisses	0
4	Node9	CacheHits	0
4	Node9	CacheMisses	0
4	Node10	CacheHits	0
4	Node10	CacheMisses	0
4	Node11	CacheHits	0
4	Node11	CacheMisses	0
4	Node12	CacheHits	0
4	Node12	CacheMisses	0
4	Node13	CacheHits	0
4	Node13	CacheMisses	0
4	Node14	CacheHits	0
4	Node14	CacheMisses	79
5	Node0	CacheHits	1
5	Node0	CacheMisses	88
5	Node1	CacheHits	2
5	Node1	CacheMisses	88
5	Node2	CacheHits	0
5	Node2	CacheMisses	89
5	Node3	CacheHits	3
5	Node3	CacheMisses	90
5	Node4	CacheHits	0
5	Node4	CacheMisses	0
5	Node5	CacheHits	0
5	Node5	CacheMisses	0
5	Node6	CacheHits	0
5	Node6	CacheMisses	89
5	Node7	CacheHits	6
5	Node7	CacheMisses	93
5	Node8	CacheHits	0
5	Node8	CacheMisses	0
5	Node9	CacheHits	0
5	Node9	CacheMisses	0
5	Node10	CacheHits	0
5	Node10	CacheMisses	0
5	Node11	CacheHits	0
5	Node11	CacheMisses	0
5	Node12	CacheHits	0
5	Node12	CacheMisses	0
5	Node13	CacheHits	0
5	Node13	CacheMisses	0
5	Node14	CacheHits	0
5	Node14	CacheMisses	90
6	Node0	CacheHits	0
6	Node0	CacheMisses	88
6	Node1	CacheHits	0
6	Node1	CacheMisses	88
6	Node2	CacheHits	0
6	Node2	CacheMisses	87
6	Node3	CacheHits	1
6	Node3	CacheMisses	88
6	Node4	CacheHits	0
6	Node4	CacheMisses	0
6	Node5	CacheHits	0
6	Node5	CacheMisses	0
6	Node6	CacheHits	0
6	Node6	CacheMisses	88
6	Node7	CacheHits	11
6	Node7	CacheMisses	89
6	Node8	CacheHits	0
6	Node8	CacheMisses	0
6	Node9	CacheHits	0
6	Node9	CacheMisses	0
6	Node10	CacheHits	0
6	Node10	CacheMisses	0
6	Node11	CacheHits	0
6	Node11	CacheMisses	0
6	Node12	CacheHits	0
6	Node12	CacheMisses	0
6	Node13	CacheHits	0
6	Node13	CacheMisses	0
6	Node14	CacheHits	0
6	Node14	CacheMisses	87
7	Node0	CacheHits	0
7	Node0	CacheMisses	99
7	Node1	CacheHits	0
7	Node1	CacheMisses	99
7	Node2	CacheHits	1
7	Node2	CacheMisses	98
7	Node3	CacheHits	1
7	Node3	CacheMisses	99
7	Node4	CacheHits	0
7	Node4	CacheMisses	0
7	Node5	CacheHits	0
7	Node5	CacheMisses	0
7	Node6	CacheHits	0
7	Node6	CacheMisses	97
