Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0800348	0	0	5731	LastDelay	0.0800348	80034.8	1	4
0.0800348	0	0	5731	FullDelay	0.0800348	80034.8	1	4
0.0900348	0	0	1429	LastDelay	0.0800348	80034.8	1	4
0.0900348	0	0	1429	FullDelay	0.0800348	80034.8	1	4
0.100035	0	0	701	LastDelay	0.0800348	80034.8	1	4
0.100035	0	0	701	FullDelay	0.0800348	80034.8	1	4
0.110035	0	0	2	LastDelay	0.0800347	80034.7	1	4
0.110035	0	0	2	FullDelay	0.0800347	80034.7	1	4
0.120035	0	0	852	LastDelay	0.0800348	80034.8	1	4
0.120035	0	0	852	FullDelay	0.0800348	80034.8	1	4
0.130035	0	0	7665	LastDelay	0.0800348	80034.8	1	4
0.130035	0	0	7665	FullDelay	0.0800348	80034.8	1	4
0.140035	0	0	2468	LastDelay	0.0800348	80034.8	1	4
0.140035	0	0	2468	FullDelay	0.0800348	80034.8	1	4
0.150035	0	0	2354	LastDelay	0.0800348	80034.8	1	4
0.150035	0	0	2354	FullDelay	0.0800348	80034.8	1	4
0.160035	0	0	228	LastDelay	0.0800347	80034.7	1	4
0.160035	0	0	228	FullDelay	0.0800347	80034.7	1	4
0.170035	0	0	32	LastDelay	0.0800347	80034.7	1	4
0.170035	0	0	32	FullDelay	0.0800347	80034.7	1	4
0.180035	0	0	5361	LastDelay	0.0800348	80034.8	1	4
0.180035	0	0	5361	FullDelay	0.0800348	80034.8	1	4
0.190035	0	0	2380	LastDelay	0.0800348	80034.8	1	4
0.190035	0	0	2380	FullDelay	0.0800348	80034.8	1	4
0.200035	0	0	6165	LastDelay	0.0800348	80034.8	1	4
0.200035	0	0	6165	FullDelay	0.0800348	80034.8	1	4
0.210035	0	0	924	LastDelay	0.0800348	80034.8	1	4
0.210035	0	0	924	FullDelay	0.0800348	80034.8	1	4
0.220035	0	0	3103	LastDelay	0.0800348	80034.8	1	4
0.220035	0	0	3103	FullDelay	0.0800348	80034.8	1	4
0.230035	0	0	2115	LastDelay	0.0800348	80034.8	1	4
0.230035	0	0	2115	FullDelay	0.0800348	80034.8	1	4
0.240035	0	0	2584	LastDelay	0.0800348	80034.8	1	4
0.240035	0	0	2584	FullDelay	0.0800348	80034.8	1	4
