Time	Node	Type	Packets	
1	Node0	CacheHits	30
1	Node0	CacheMisses	731
1	Node1	CacheHits	11
1	Node1	CacheMisses	386
1	Node2	CacheHits	8
1	Node2	CacheMisses	381
1	Node3	CacheHits	2
1	Node3	CacheMisses	201
1	Node4	CacheHits	2
1	Node4	CacheMisses	200
1	Node5	CacheHits	3
1	Node5	CacheMisses	199
1	Node6	CacheHits	4
1	Node6	CacheMisses	196
1	Node7	CacheHits	1
1	Node7	CacheMisses	103
1	Node8	CacheHits	1
1	Node8	CacheMisses	103
1	Node9	CacheHits	1
1	Node9	CacheMisses	103
1	Node10	CacheHits	1
1	Node10	CacheMisses	101
1	Node11	CacheHits	1
1	Node11	CacheMisses	101
1	Node12	CacheHits	1
1	Node12	CacheMisses	103
1	Node13	CacheHits	1
1	Node13	CacheMisses	101
1	Node14	CacheHits	1
1	Node14	CacheMisses	103
2	Node0	CacheHits	34
2	Node0	CacheMisses	710
2	Node1	CacheHits	13
2	Node1	CacheMisses	373
2	Node2	CacheHits	15
2	Node2	CacheMisses	367
2	Node3	CacheHits	6
2	Node3	CacheMisses	191
2	Node4	CacheHits	3
2	Node4	CacheMisses	192
2	Node5	CacheHits	4
2	Node5	CacheMisses	192
2	Node6	CacheHits	3
2	Node6	CacheMisses	192
2	Node7	CacheHits	0
2	Node7	CacheMisses	100
2	Node8	CacheHits	1
2	Node8	CacheMisses	99
2	Node9	CacheHits	2
2	Node9	CacheMisses	98
2	Node10	CacheHits	2
2	Node10	CacheMisses	96
2	Node11	CacheHits	1
2	Node11	CacheMisses	99
2	Node12	CacheHits	2
2	Node12	CacheMisses	98
2	Node13	CacheHits	0
2	Node13	CacheMisses	100
2	Node14	CacheHits	4
2	Node14	CacheMisses	96
3	Node0	CacheHits	33
3	Node0	CacheMisses	664
3	Node1	CacheHits	29
3	Node1	CacheMisses	354
3	Node2	CacheHits	32
3	Node2	CacheMisses	342
3	Node3	CacheHits	1
3	Node3	CacheMisses	192
3	Node4	CacheHits	8
3	Node4	CacheMisses	191
3	Node5	CacheHits	3
3	Node5	CacheMisses	184
3	Node6	CacheHits	6
3	Node6	CacheMisses	190
3	Node7	CacheHits	4
3	Node7	CacheMisses	96
3	Node8	CacheHits	2
3	Node8	CacheMisses	98
3	Node9	CacheHits	0
3	Node9	CacheMisses	100
3	Node10	CacheHits	1
3	Node10	CacheMisses	98
3	Node11	CacheHits	9
3	Node11	CacheMisses	91
3	Node12	CacheHits	4
3	Node12	CacheMisses	96
3	Node13	CacheHits	1
3	Node13	CacheMisses	98
3	Node14	CacheHits	3
