Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.060026	Node9	0	8	LastDelay	0.060026	60026	1	3
0.060026	Node9	0	8	FullDelay	0.060026	60026	1	3
0.0600261	Node11	0	4812	LastDelay	0.0600261	60026.1	1	3
0.0600261	Node11	0	4812	FullDelay	0.0600261	60026.1	1	3
0.0600345	Node7	0	9550	LastDelay	0.0600345	60034.5	1	3
0.0600345	Node7	0	9550	FullDelay	0.0600345	60034.5	1	3
0.0600346	Node13	0	783	LastDelay	0.0600346	60034.6	1	3
0.0600346	Node13	0	783	FullDelay	0.0600346	60034.6	1	3
0.060043	Node10	0	2038	LastDelay	0.060043	60043	1	3
0.060043	Node10	0	2038	FullDelay	0.060043	60043	1	3
0.0600431	Node12	0	6453	LastDelay	0.0600431	60043.1	1	3
0.0600431	Node12	0	6453	FullDelay	0.0600431	60043.1	1	3
0.0600515	Node8	0	2685	LastDelay	0.0600515	60051.5	1	3
0.0600515	Node8	0	2685	FullDelay	0.0600515	60051.5	1	3
0.0600516	Node14	0	667	LastDelay	0.0600516	60051.6	1	3
0.0600516	Node14	0	667	FullDelay	0.0600516	60051.6	1	3
0.070026	Node9	0	209	LastDelay	0.060026	60026	1	3
0.070026	Node9	0	209	FullDelay	0.060026	60026	1	3
0.070026	Node11	0	55	LastDelay	0.060026	60026	1	3
0.070026	Node11	0	55	FullDelay	0.060026	60026	1	3
0.0700345	Node13	0	62	LastDelay	0.0600345	60034.5	1	3
0.0700345	Node13	0	62	FullDelay	0.0600345	60034.5	1	3
0.0700345	Node7	0	416	LastDelay	0.0600345	60034.5	1	3
0.0700345	Node7	0	416	FullDelay	0.0600345	60034.5	1	3
0.070043	Node10	0	187	LastDelay	0.060043	60043	1	3
0.070043	Node10	0	187	FullDelay	0.060043	60043	1	3
0.070043	Node12	0	8907	LastDelay	0.060043	60043	1	3
0.070043	Node12	0	8907	FullDelay	0.060043	60043	1	3
0.0700515	Node14	0	1056	LastDelay	0.0600515	60051.5	1	3
0.0700515	Node14	0	1056	FullDelay	0.0600515	60051.5	1	3
0.0700515	Node8	0	1617	LastDelay	0.0600515	60051.5	1	3
0.0700515	Node8	0	1617	FullDelay	0.0600515	60051.5	1	3
0.080026	Node7	0	37	LastDelay	0.060026	60026	1	3
0.080026	Node7	0	37	FullDelay	0.060026	60026	1	3
0.080026	Node11	0	50	LastDelay	0.060026	60026	1	3
0.080026	Node11	0	50	FullDelay	0.060026	60026	1	3
0.0800345	Node9	0	24	LastDelay	0.0600345	60034.5	1	3
0.0800345	Node9	0	24	FullDelay	0.0600345	60034.5	1	3
0.0800345	Node13	0	37	LastDelay	0.0600345	60034.5	1	3
0.0800345	Node13	0	37	FullDelay	0.0600345	60034.5	1	3
0.080043	Node10	0	117	LastDelay	0.060043	60043	1	3
0.080043	Node10	0	117	FullDelay	0.060043	60043	1	3
0.080043	Node12	0	5444	LastDelay	0.060043	60043	1	3
0.080043	Node12	0	5444	FullDelay	0.060043	60043	1	3
0.0800515	Node8	0	1698	LastDelay	0.0600515	60051.5	1	3
0.0800515	Node8	0	1698	FullDelay	0.0600515	60051.5	1	3
