Time	Node	Type	Packets	
1	Node0	CacheHits	24
1	Node0	CacheMisses	698
1	Node1	CacheHits	12
1	Node1	CacheMisses	364
1	Node2	CacheHits	10
1	Node2	CacheMisses	363
1	Node3	CacheHits	8
1	Node3	CacheMisses	191
1	Node4	CacheHits	7
1	Node4	CacheMisses	189
1	Node5	CacheHits	4
1	Node5	CacheMisses	190
1	Node6	CacheHits	5
1	Node6	CacheMisses	188
1	Node7	CacheHits	5
1	Node7	CacheMisses	99
1	Node8	CacheHits	1
1	Node8	CacheMisses	103
1	Node9	CacheHits	7
1	Node9	CacheMisses	97
1	Node10	CacheHits	1
1	Node10	CacheMisses	101
1	Node11	CacheHits	8
1	Node11	CacheMisses	95
1	Node12	CacheHits	2
1	Node12	CacheMisses	102
1	Node13	CacheHits	5
1	Node13	CacheMisses	97
1	Node14	CacheHits	4
1	Node14	CacheMisses	100
2	Node0	CacheHits	13
2	Node0	CacheMisses	695
2	Node1	CacheHits	10
2	Node1	CacheMisses	356
2	Node2	CacheHits	6
2	Node2	CacheMisses	348
2	Node3	CacheHits	7
2	Node3	CacheMisses	184
2	Node4	CacheHits	10
2	Node4	CacheMisses	179
2	Node5	CacheHits	6
2	Node5	CacheMisses	178
2	Node6	CacheHits	8
2	Node6	CacheMisses	178
2	Node7	CacheHits	3
2	Node7	CacheMisses	97
2	Node8	CacheHits	5
2	Node8	CacheMisses	95
2	Node9	CacheHits	3
2	Node9	CacheMisses	97
2	Node10	CacheHits	7
2	Node10	CacheMisses	91
2	Node11	CacheHits	7
2	Node11	CacheMisses	93
2	Node12	CacheHits	8
2	Node12	CacheMisses	92
2	Node13	CacheHits	3
2	Node13	CacheMisses	97
2	Node14	CacheHits	10
2	Node14	CacheMisses	90
3	Node0	CacheHits	16
3	Node0	CacheMisses	673
3	Node1	CacheHits	7
3	Node1	CacheMisses	349
3	Node2	CacheHits	10
3	Node2	CacheMisses	340
3	Node3	CacheHits	7
3	Node3	CacheMisses	173
3	Node4	CacheHits	4
3	Node4	CacheMisses	184
3	Node5	CacheHits	6
3	Node5	CacheMisses	171
3	Node6	CacheHits	4
3	Node6	CacheMisses	179
3	Node7	CacheHits	11
3	Node7	CacheMisses	88
3	Node8	CacheHits	8
3	Node8	CacheMisses	91
3	Node9	CacheHits	5
3	Node9	CacheMisses	95
3	Node10	CacheHits	6
3	Node10	CacheMisses	93
3	Node11	CacheHits	13
3	Node11	CacheMisses	86
3	Node12	CacheHits	9
3	Node12	CacheMisses	91
3	Node13	CacheHits	7
3	Node13	CacheMisses	92
3	Node14	CacheHits	10
3	Node14	CacheMisses	90
4	Node0	CacheHits	11
4	Node0	CacheMisses	689
4	Node1	CacheHits	12
4	Node1	CacheMisses	339
4	Node2	CacheHits	7
4	Node2	CacheMisses	357
4	Node3	CacheHits	9
4	Node3	CacheMisses	174
4	Node4	CacheHits	6
4	Node4	CacheMisses	177
4	Node5	CacheHits	5
4	Node5	CacheMisses	180
4	Node6	CacheHits	2
4	Node6	CacheMisses	186
4	Node7	CacheHits	13
4	Node7	CacheMisses	87
4	Node8	CacheHits	4
4	Node8	CacheMisses	96
4	Node9	CacheHits	6
4	Node9	CacheMisses	94
4	Node10	CacheHits	12
4	Node10	CacheMisses	88
