Time	Node	Type	Packets	
1	Node0	CacheHits	25
1	Node0	CacheMisses	719
1	Node1	CacheHits	15
1	Node1	CacheMisses	378
1	Node2	CacheHits	13
1	Node2	CacheMisses	370
1	Node3	CacheHits	3
1	Node3	CacheMisses	198
1	Node4	CacheHits	2
1	Node4	CacheMisses	200
1	Node5	CacheHits	3
1	Node5	CacheMisses	196
1	Node6	CacheHits	3
1	Node6	CacheMisses	193
1	Node7	CacheHits	2
1	Node7	CacheMisses	102
1	Node8	CacheHits	2
1	Node8	CacheMisses	102
1	Node9	CacheHits	2
1	Node9	CacheMisses	102
1	Node10	CacheHits	1
1	Node10	CacheMisses	101
1	Node11	CacheHits	3
1	Node11	CacheMisses	100
1	Node12	CacheHits	2
1	Node12	CacheMisses	102
1	Node13	CacheHits	2
1	Node13	CacheMisses	100
1	Node14	CacheHits	4
1	Node14	CacheMisses	100
2	Node0	CacheHits	28
2	Node0	CacheMisses	695
2	Node1	CacheHits	23
2	Node1	CacheMisses	362
2	Node2	CacheHits	12
2	Node2	CacheMisses	359
2	Node3	CacheHits	3
2	Node3	CacheMisses	194
2	Node4	CacheHits	6
2	Node4	CacheMisses	190
2	Node5	CacheHits	8
2	Node5	CacheMisses	185
2	Node6	CacheHits	4
2	Node6	CacheMisses	187
2	Node7	CacheHits	1
2	Node7	CacheMisses	99
2	Node8	CacheHits	1
2	Node8	CacheMisses	99
2	Node9	CacheHits	2
2	Node9	CacheMisses	98
2	Node10	CacheHits	1
2	Node10	CacheMisses	97
2	Node11	CacheHits	3
2	Node11	CacheMisses	97
2	Node12	CacheHits	3
2	Node12	CacheMisses	97
2	Node13	CacheHits	3
2	Node13	CacheMisses	97
2	Node14	CacheHits	5
2	Node14	CacheMisses	95
3	Node0	CacheHits	29
3	Node0	CacheMisses	650
3	Node1	CacheHits	30
3	Node1	CacheMisses	337
3	Node2	CacheHits	17
3	Node2	CacheMisses	342
3	Node3	CacheHits	12
3	Node3	CacheMisses	181
3	Node4	CacheHits	7
3	Node4	CacheMisses	183
3	Node5	CacheHits	10
3	Node5	CacheMisses	180
3	Node6	CacheHits	10
3	Node6	CacheMisses	179
3	Node7	CacheHits	3
3	Node7	CacheMisses	96
3	Node8	CacheHits	3
3	Node8	CacheMisses	96
3	Node9	CacheHits	4
3	Node9	CacheMisses	96
3	Node10	CacheHits	5
3	Node10	CacheMisses	94
3	Node11	CacheHits	7
3	Node11	CacheMisses	93
3	Node12	CacheHits	3
3	Node12	CacheMisses	97
3	Node13	CacheHits	4
3	Node13	CacheMisses	95
3	Node14	CacheHits	7
3	Node14	CacheMisses	93
4	Node0	CacheHits	17
4	Node0	CacheMisses	681
4	Node1	CacheHits	18
4	Node1	CacheMisses	344
4	Node2	CacheHits	13
4	Node2	CacheMisses	351
4	Node3	CacheHits	10
4	Node3	CacheMisses	177
4	Node4	CacheHits	7
4	Node4	CacheMisses	185
4	Node5	CacheHits	3
4	Node5	CacheMisses	184
4	Node6	CacheHits	10
4	Node6	CacheMisses	182
4	Node7	CacheHits	8
4	Node7	CacheMisses	92
4	Node8	CacheHits	4
4	Node8	CacheMisses	96
4	Node9	CacheHits	4
4	Node9	CacheMisses	96
4	Node10	CacheHits	4
4	Node10	CacheMisses	96
4	Node11	CacheHits	8
4	Node11	CacheMisses	92
4	Node12	CacheHits	5
4	Node12	CacheMisses	95
4	Node13	CacheHits	4
4	Node13	CacheMisses	96
4	Node14	CacheHits	5
4	Node14	CacheMisses	95
5	Node0	CacheHits	12
5	Node0	CacheMisses	674
5	Node1	CacheHits	9
5	Node1	CacheMisses	343
5	Node2	CacheHits	6
5	Node2	CacheMisses	343
5	Node3	CacheHits	10
5	Node3	CacheMisses	174
5	Node4	CacheHits	3
5	Node4	CacheMisses	177
5	Node5	CacheHits	10
5	Node5	CacheMisses	175
5	Node6	CacheHits	10
5	Node6	CacheMisses	175
5	Node7	CacheHits	6
5	Node7	CacheMisses	94
5	Node8	CacheHits	8
5	Node8	CacheMisses	92
5	Node9	CacheHits	11
5	Node9	CacheMisses	88
5	Node10	CacheHits	8
5	Node10	CacheMisses	92
5	Node11	CacheHits	8
5	Node11	CacheMisses	92
5	Node12	CacheHits	7
5	Node12	CacheMisses	92
5	Node13	CacheHits	7
5	Node13	CacheMisses	93
5	Node14	CacheHits	7
5	Node14	CacheMisses	93
6	Node0	CacheHits	16
6	Node0	CacheMisses	685
6	Node1	CacheHits	8
6	Node1	CacheMisses	350
6	Node2	CacheHits	13
6	Node2	CacheMisses	348
6	Node3	CacheHits	8
6	Node3	CacheMisses	179
6	Node4	CacheHits	7
6	Node4	CacheMisses	178
6	Node5	CacheHits	8
6	Node5	CacheMisses	183
6	Node6	CacheHits	11
6	Node6	CacheMisses	178
6	Node7	CacheHits	6
6	Node7	CacheMisses	94
6	Node8	CacheHits	7
6	Node8	CacheMisses	93
6	Node9	CacheHits	5
6	Node9	CacheMisses	95
6	Node10	CacheHits	7
6	Node10	CacheMisses	91
6	Node11	CacheHits	4
6	Node11	CacheMisses	95
6	Node12	CacheHits	5
6	Node12	CacheMisses	95
6	Node13	CacheHits	3
6	Node13	CacheMisses	97
6	Node14	CacheHits	8
6	Node14	CacheMisses	92
7	Node0	CacheHits	17
7	Node0	CacheMisses	669
7	Node1	CacheHits	12
7	Node1	CacheMisses	352
7	Node2	CacheHits	13
7	Node2	CacheMisses	335
7	Node3	CacheHits	6
7	Node3	CacheMisses	188
7	Node4	CacheHits	13
7	Node4	CacheMisses	176
7	Node5	CacheHits	11
7	Node5	CacheMisses	176
7	Node6	CacheHits	11
7	Node6	CacheMisses	172
